variable,mean,median
Text Type,0.8458874458874459,0.8571428571428571
Institution Type,0.8376404494382023,1.0
Rule/Norm/Strategy,0.8333333333333334,1.0
Level of Analysis,0.84,1.0
Attribute_lo,0.8256554307116105,1.0
Attribute_hi,0.8256554307116105,1.0
Attribute_position,0.4642408965638346,0.2857142857142857
Deontic_lo,0.6047348484848485,0.5
Deontic_hi,0.7979166666666667,1.0
Deontic_position,0.43069384648068154,0.28174603174603174
aIm_lo,0.7194444444444444,0.6666666666666666
aIm_hi,0.805787037037037,1.0
aIm_position,0.2990985129954643,0.2361111111111111
oBject_lo,0.7097560975609756,0.6333333333333333
oBject_hi,0.8672764227642277,1.0
oBject_position,0.29973876361779406,0.25
Or Else_lo,0.9166666666666666,1.0
Or Else_hi,0.9871794871794872,1.0
Or Else_position,0.19601753088892884,0.14285714285714285
Condition_lo,0.6972972972972973,0.5
Condition_hi,0.9171171171171171,1.0
Condition_position,0.20194214474400232,0.14285714285714285
